Ingredient code,Ingredient description,ingredient_clean,taxon_clean,Similarity,Level.code,taxon.food.description
23575,"Beef, ground, 80% lean meat / 20% fat, crumbles, cooked, pan-browned",20 lean crumbles beef pan cooked fat 80 meat browned ground,patty beef meatball ground,0.387,215,Ground beef beef patties beef meatballs
23577,"Beef, ground, 75% lean meat / 25% fat, raw",raw lean beef fat meat 25 75 ground,patty beef meatball ground,0.45,215,Ground beef beef patties beef meatballs
23578,"Beef, ground, 75% lean meat / 25% fat, patty, cooked, broiled",lean beef cooked fat meat broiled patty 25 75 ground,patty beef meatball ground,0.56,215,Ground beef beef patties beef meatballs
23580,"Beef, ground, 75% lean meat / 25% fat, crumbles, cooked, pan-browned",crumbles lean beef pan cooked browned fat meat 25 75 ground,patty beef meatball ground,0.378,215,Ground beef beef patties beef meatballs
23581,"Beef, ground, 75% lean meat / 25% fat, loaf, cooked, baked",lean beef cooked loaf fat meat baked 25 75 ground,bean baked,0.432,41201,Baked beans
23588,"Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, select, cooked, broiled",select lean separable sirloin beef 18 top trimmed cooked fat broiled steak,beef steak,0.403,211,Beef steak
23590,"Beef, round, bottom round , roast, separable lean only, trimmed to 1/8"" fat, select, cooked, roasted",select lean separable 18 beef roast trimmed cooked fat bottom roasted round,veal roasted,0.461,2321,Veal roasted
23602,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, all grades, cooked, braised",lean separable 18 beef roast trimmed all cooked fat grade pot chuck braised arm,cereal cooked grain,0.39,576,Cereal grains not cooked
23606,"Beef, short loin, top loin, steak, separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled",loin lean separable 18 beef top trimmed all cooked fat short broiled steak grade,beef steak,0.414,211,Beef steak
23610,"Beef, top sirloin, steak, separable lean only, trimmed to 1/8"" fat, all grades, cooked, broiled",lean separable sirloin beef 18 top trimmed all cooked fat broiled steak grade,beef steak,0.406,211,Beef steak
23612,"Beef, chuck, arm pot roast, separable lean only, trimmed to 1/8"" fat, choice, raw",lean separable 18 beef roast trimmed choice fat pot chuck raw arm,potato beef vegetable,0.338,2741,Beef with vegetable no potatoes
