Ingredient code,Ingredient description,ingredient_clean,taxon.food.description,taxon_clean,Similarity,Level.code,match,correct_code
5180,"Turkey from whole, neck, meat only, cooked, simmered",meat turkey from neck simmered cooked whole,Turkey,turkey,0.47,242,,
5182,"Turkey from whole, light meat, meat and skin, cooked, roasted",light meat turkey roasted from skin cooked whole,Turkey NS light or dark meat,light meat turkey dark,0.617,24201,n,242
5184,"Turkey, dark meat from whole, meat and skin, cooked, roasted",meat turkey roasted from skin cooked whole dark,Turkey rolled roast,rolled roast turkey,0.588,24204,n,242
5186,"Turkey, all classes, light meat, cooked, roasted",light meat turkey all roasted cooked class,Turkey NS light or dark meat,light meat turkey dark,0.628,24201,n,242
5188,"Turkey, from whole, dark meat, cooked, roasted",meat turkey roasted from cooked whole dark,Turkey rolled roast,rolled roast turkey,0.617,24204,n,242
5194,"Turkey, all classes, leg, meat and skin, cooked, roasted",meat turkey all roasted skin leg cooked class,Turkey rolled roast,rolled roast turkey,0.573,24204,n,24202
5196,"Turkey, all classes, wing, meat and skin, cooked, roasted",wing meat turkey all roasted skin cooked class,Turkey wing,wing turkey,0.565,24203,,
5200,"Turkey, fryer-roasters, meat and skin, cooked, roasted",meat turkey roasted skin roaster fryer cooked,Turkey rolled roast,rolled roast turkey,0.619,24204,n,242
5220,"Turkey, breast, from whole bird, non-enhanced, meat only, roasted",meat turkey enhanced roasted from breast non bird whole,Turkey rolled roast,rolled roast turkey,0.506,24204,n,242
5228,"Turkey, wing, from whole bird, non-enhanced, meat only, roasted",wing meat turkey enhanced roasted from non bird whole,Turkey wing,wing turkey,0.485,24203,,
5306,"Ground turkey, cooked",cooked ground turkey,Turkey,turkey,0.657,242,,
5308,"Chicken, cornish game hens, meat and skin, cooked, roasted",meat roasted chicken skin hen game cornish cooked,Chicken,chicken,0.472,241,,
5310,"Chicken, cornish game hens, meat only, cooked, roasted",meat roasted chicken hen game cornish cooked,Chicken,chicken,0.485,241,,
5311,"Chicken, canned, no broth",chicken canned broth,Chicken,chicken,0.665,241,,
5314,"Chicken, broilers or fryers, breast, skinless, boneless, meat only, enhanced, raw",boneless meat enhanced skinless chicken broiler raw fryer breast,Chicken breast,chicken breast,0.483,2412,,
5319,"Chicken, broiler, rotisserie, BBQ, drumstick, meat only",meat drumstick chicken broiler bbq rotisserie,Chicken drumstick,drumstick chicken,0.679,2414,,
5324,"Chicken patty, frozen, cooked",cooked patty chicken frozen,Chicken,chicken,0.578,241,,
5334,"Chicken, broiler, rotisserie, BBQ, thigh, meat only",meat chicken broiler bbq thigh rotisserie,Chicken thigh,chicken thigh,0.571,2415,,
5335,"Chicken, feet, boiled",boiled foot chicken,Chicken,chicken,0.64,241,,
5342,"Chicken, broilers or fryers, breast, meat only, cooked, rotisserie, original seasoning",meat chicken broiler original fryer breast cooked seasoning rotisserie,Chicken breast,chicken breast,0.508,2412,,
5358,"Chicken, broiler, rotisserie, BBQ, breast meat and skin",meat chicken broiler skin bbq breast rotisserie,Chicken breast,chicken breast,0.554,2412,,
5359,"Chicken, broiler, rotisserie, BBQ, drumstick meat and skin",meat drumstick chicken broiler skin bbq rotisserie,Chicken drumstick,drumstick chicken,0.662,2414,,
5361,"Chicken, broiler, rotisserie, BBQ, thigh meat and skin",meat chicken broiler skin bbq thigh rotisserie,Chicken thigh,chicken thigh,0.554,2415,,
5362,"Chicken, broiler, rotisserie, BBQ, wing meat and skin",wing meat chicken broiler skin bbq rotisserie,Chicken wing,wing chicken,0.501,2416,,
5642,"Ostrich, ground, cooked, pan-broiled",ostrich pan ground broiled cooked,Ostrich,ostrich,0.536,2335,,
5671,"Chicken, broilers or fryers, dark meat, drumstick, meat only, cooked, braised",meat braised drumstick chicken broiler fryer cooked dark,Chicken drumstick,drumstick chicken,0.67,2414,,
5672,"Chicken, broilers or fryers, dark meat, thigh, meat only, cooked, braised",meat braised chicken broiler fryer cooked thigh dark,Chicken thigh,chicken thigh,0.566,2415,,
5676,"Chicken, broilers or fryers, dark meat, drumstick, meat and skin, cooked, braised",meat braised drumstick chicken broiler skin fryer cooked dark,Chicken drumstick,drumstick chicken,0.655,2414,,
5677,"Chicken, broilers or fryers, dark meat, thigh, meat and skin, cooked, braised",meat braised chicken broiler skin fryer cooked thigh dark,Chicken thigh,chicken thigh,0.55,2415,,
5695,"Turkey, enhanced, dark meat, meat only, cooked, roasted",meat turkey enhanced roasted cooked dark,Turkey NS light or dark meat,light meat turkey dark,0.569,24201,,
5697,"Turkey from whole, enhanced, light meat, meat only, cooked, roasted",light meat turkey enhanced roasted from cooked whole,Turkey NS light or dark meat,light meat turkey dark,0.56,24201,,
5699,"Turkey, enhanced, skin from whole, (light and dark), roasted",light turkey enhanced roasted from skin whole dark,Turkey NS light or dark meat,light meat turkey dark,0.635,24201,,
5701,"Turkey, enhanced, dark meat from whole, meat and skin, cooked, roasted",meat turkey enhanced roasted from skin cooked whole dark,Turkey rolled roast,rolled roast turkey,0.52,24204,n,24201
5703,"Turkey from whole, enhanced, light meat, meat and skin, cooked, roasted",light meat turkey enhanced roasted from skin cooked whole,Turkey NS light or dark meat,light meat turkey dark,0.544,24201,,
5705,"Turkey, whole, enhanced, meat only, roasted",meat turkey enhanced roasted whole,Turkey rolled roast,rolled roast turkey,0.554,24204,n,242
5707,"Turkey, whole, enhanced, meat and skin, roasted",meat turkey enhanced roasted skin whole,Turkey rolled roast,rolled roast turkey,0.526,24204,n,242
5708,"Turkey, retail parts, enhanced, breast, meat only, raw",retail meat turkey enhanced raw breast part,Turkey tail or back,back tail turkey,0.504,24205,n,242
5725,"Turkey, drumstick, from whole bird, enhanced, meat only, roasted",meat turkey enhanced roasted drumstick from bird whole,Turkey drumstick or thigh,drumstick turkey thigh,0.578,24202,,
5727,"Turkey, retail parts, enhanced, breast, meat and skin, raw",retail meat turkey enhanced skin raw breast part,Turkey tail or back,back tail turkey,0.491,24205,n,242
5728,"Turkey, thigh, from whole bird, enhanced, meat only, roasted",meat turkey enhanced roasted from bird whole thigh,Turkey rolled roast,rolled roast turkey,0.474,24204,n,24202
5730,"Turkey, wing, from whole bird, enhanced, meat only, roasted",wing meat turkey enhanced roasted from bird whole,Turkey wing,wing turkey,0.497,24203,,
5739,"Turkey, drumstick, from whole bird, meat only, roasted",meat turkey roasted drumstick from bird whole,Turkey drumstick or thigh,drumstick turkey thigh,0.642,24202,,
5741,"Turkey, thigh, from whole bird, meat only, roasted",meat turkey roasted from bird whole thigh,Turkey rolled roast,rolled roast turkey,0.534,24204,n,24202
5743,"Turkey, retail parts, thigh, meat and skin, cooked, roasted",retail meat turkey roasted skin part cooked thigh,Turkey tail or back,back tail turkey,0.516,24205,n,24202
5745,"Turkey, back, from whole bird, enhanced, meat and skin, roasted",meat turkey enhanced roasted back from skin bird whole,Turkey rolled roast,rolled roast turkey,0.477,24204,n,24205
6001,"Soup, cream of asparagus, canned, condensed",soup cream condensed asparagus of canned,Asparagus,asparagus,0.611,75202,n,75601
6004,"Soup, bean with pork, canned, condensed",soup pork condensed bean canned,Milk condensed,milk condensed,0.635,1122,n,2832
6008,"Soup, beef broth or bouillon canned, ready-to-serve",soup beef ready bouillon canned broth serve,Beef soups,soup beef,0.479,2831,,
6009,"Soup, beef noodle, canned, condensed",soup beef condensed canned noodle,Milk condensed,milk condensed,0.595,1122,n,2831
6010,"Soup, cream of celery, canned, condensed",soup cream condensed of canned celery,Milk condensed,milk condensed,0.582,1122,n,75611
6011,"Soup, cheese, canned, condensed",soup canned condensed cheese,Milk condensed,milk condensed,0.659,1122,n,147
6013,"Soup, chicken broth, canned, condensed",soup condensed chicken canned broth,Milk condensed,milk condensed,0.601,1122,n,2834
6015,"Soup, chicken, canned, chunky, ready-to-serve",soup ready chicken chunky canned serve,Chicken,chicken,0.478,241,n,2834
6016,"Soup, cream of chicken, canned, condensed",soup cream chicken condensed of canned,Milk condensed,milk condensed,0.611,1122,n,28345
6018,"Soup, chunky chicken noodle, canned, ready-to-serve",soup ready chicken chunky canned noodle serve,Noodles,noodle,0.444,5611,n,2834
6019,"Soup, chicken noodle, canned, condensed",soup condensed chicken canned noodle,Milk condensed,milk condensed,0.59,1122,n,2834
6022,"Soup, chicken rice, canned, chunky, ready-to-serve",soup ready rice chicken chunky canned serve,Chicken,chicken,0.488,241,n,2834
6023,"Soup, chicken with rice, canned, condensed",soup rice condensed chicken canned,Milk condensed,milk condensed,0.621,1122,n,2834
6024,"Soup, chicken and vegetable, canned, ready-to-serve",soup ready chicken canned serve vegetable,Vegetable soups,soup vegetable,0.656,756,n,7565
6027,"Soup, clam chowder, manhattan style, canned, chunky, ready-to-serve",soup style clam chowder ready manhattan chunky canned serve,Potato salad German style,potato salad german style,0.359,71602,n,2835
6029,"CAMPBELL'S, HEALTHY REQUEST, chicken with rice, condensed",rice chicken campbell request condensed healthy,Milk condensed,milk condensed,0.421,1122,n,2834
6030,"Soup, clam chowder, new england, canned, condensed",soup clam chowder condensed england canned new,Milk condensed,milk condensed,0.518,1122,n,2835
6039,"Soup, minestrone, canned, chunky, ready-to-serve",soup minestrone ready chunky canned serve,Preserves,preserve,0.362,91402,n,7565
6040,"Soup, minestrone, canned, condensed",soup canned condensed minestrone,Milk condensed,milk condensed,0.597,1122,n,7565
6043,"Soup, cream of mushroom, canned, condensed",soup cream condensed of canned mushroom,Mushrooms,mushroom,0.624,75219,n,75607
6044,"Soup, mushroom with beef stock, canned, condensed",soup beef condensed canned stock mushroom,Mushrooms,mushroom,0.575,75219,n,75607
6045,"Soup, onion, canned, condensed",soup condensed canned onion,Milk condensed,milk condensed,0.648,1122,n,75608
6046,"Soup, cream of onion, canned, condensed",soup cream onion condensed of canned,Milk condensed,milk condensed,0.611,1122,n,75608
6049,"Soup, pea, green, canned, condensed",soup pea condensed canned green,Milk condensed,milk condensed,0.638,1122,n,75609
6050,"Soup, pea, split with ham, canned, chunky, ready-to-serve",soup ready ham pea chunky split canned serve,Preserves,preserve,0.35,91402,n,75609
6053,"Soup, cream of potato, canned, condensed",soup cream condensed of canned potato,Milk condensed,milk condensed,0.592,1122,n,7180
6067,"Soup, chunky vegetable, canned, ready-to-serve",soup ready chunky canned serve vegetable,Vegetable soups,soup vegetable,0.608,756,,
6068,"Soup, vegetarian vegetable, canned, condensed",soup condensed vegetarian canned vegetable,Vegetable soups,soup vegetable,0.7,756,,
6070,"Soup, chunky beef, canned, ready-to-serve",soup beef ready chunky canned serve,Beef soups,soup beef,0.481,2831,,
6071,"Soup, vegetable beef, canned, condensed",soup beef condensed canned vegetable,Vegetable soups,soup vegetable,0.633,756,n,7565
6072,"Soup, vegetable with beef broth, canned, condensed",soup beef condensed canned broth vegetable,Vegetable soups,soup vegetable,0.598,756,,
6075,"Soup, beef broth or bouillon, powder, dry",soup beef bouillon powder dry broth,Beef soups,soup beef,0.495,2831,n,283
6101,"Soup, cream of vegetable, dry, powder",soup cream powder of dry vegetable,Vegetable soups,soup vegetable,0.697,756,n,75600
6112,"Sauce, teriyaki, ready-to-serve",sauce teriyaki ready serve,Preserves,preserve,0.392,91402,n,861
6116,"Gravy, beef, canned, ready-to-serve",beef ready canned serve gravy,Beef in gravy or sauce,sauce beef gravy,0.592,2711,n,871
6119,"Gravy, chicken, canned or bottled, ready-to-serve",ready chicken bottled canned serve gravy,Water not bottled,water bottled,0.466,940,n,872
6122,"Gravy, mushroom, dry, powder",powder dry mushroom gravy,Mushrooms,mushroom,0.699,75219,n,873
6124,"Gravy, pork, dry, powder",powder pork dry gravy,Pork with gravy or sauce,sauce pork gravy,0.632,2712,n,874
6125,"Gravy, turkey, canned, ready-to-serve",turkey ready canned serve gravy,Turkey,turkey,0.531,242,n,875
6128,"Soup, chicken noodle, dry, mix",soup mix chicken dry noodle,Noodles,noodle,0.606,5611,n,2834
6149,"Soup, chicken mushroom, canned, condensed",soup condensed chicken canned mushroom,Mushrooms,mushroom,0.597,75219,n,2834
6150,"Sauce, barbecue",sauce barbecue,Barbecue steak or cocktail sauce,sauce steak cocktail barbecue,0.752,74406,n,863
6159,"Soup, tomato, canned, condensed",soup tomato condensed canned,Tomato soup instant or canned,soup instant tomato canned,0.668,74602,,
6164,"Sauce, salsa, ready-to-serve",sauce salsa ready serve,Chili sauce or salsa,sauce salsa chili,0.688,74402,,
6166,"Sauce, homemade, white, medium",sauce medium homemade white,Roll white homemade,roll homemade white,0.723,51151,n,864
6167,"Sauce, homemade, white, thick",sauce thick homemade white,Roll white homemade,roll homemade white,0.76,51151,n,864
6169,"Sauce, ready-to-serve, pepper, TABASCO",ready sauce pepper serve tabasco,Peppers,pepper,0.553,75226,n,862
6170,"Soup, stock, beef, home-prepared",soup beef prepared stock home,Beef soups,soup beef,0.545,2831,,
6172,"Soup, stock, chicken, home-prepared",soup chicken prepared stock home,Chicken NS as to part,chicken part,0.509,2410,n,2834
6174,"Soup, stock, fish, home-prepared",soup fish prepared stock home,Vegetable soup prepared with milk,soup prepared milk vegetable,0.48,75611,n,2835
6175,"Sauce, hoisin, ready-to-serve",sauce hoisin ready serve,Preserves,preserve,0.454,91402,n,865
6176,"Sauce, oyster, ready-to-serve",sauce oyster ready serve,Oysters,oyster,0.668,26315,n,866
6177,"Soup, minestrone, canned, reduced sodium, ready-to-serve",soup minestrone reduced ready sodium canned serve,Cheddar reduced sodium,sodium reduced cheddar,0.533,1411,n,7565
6179,"Sauce, fish, ready-to-serve",sauce fish ready serve,Fish shellfish with gravy or sauce,sauce fish shellfish gravy,0.538,2715,n,867
6182,"Soup, cream of mushroom, canned, condensed, reduced sodium",soup cream reduced condensed sodium of canned mushroom,Sour cream reduced fat,fat cream reduced sour,0.527,1233,n,75607
6183,"Soup, chicken broth, less/reduced sodium, ready to serve",soup ready sodium chicken broth serve lessreduced,Cheddar reduced sodium,sodium reduced cheddar,0.51,1411,n,2834
6188,"Soup, beef broth, less/reduced sodium, ready to serve",soup beef ready sodium broth serve lessreduced,Cheddar reduced sodium,sodium reduced cheddar,0.507,1411,n,2831
6189,"Sauce, teriyaki, ready-to-serve, reduced sodium",reduced ready sodium sauce teriyaki serve,Cheddar reduced sodium,sodium reduced cheddar,0.524,1411,n,861
6190,"Soup, bean & ham, canned, reduced sodium, prepared with water or ready-to-serve",soup water reduced ready ham sodium bean prepared canned serve,Cheddar reduced sodium,sodium reduced cheddar,0.551,1411,n,2832
6192,"Split pea soup, canned, reduced sodium, prepared with water or ready-to serve",soup water reduced ready pea sodium prepared split canned serve,Cheddar reduced sodium,sodium reduced cheddar,0.521,1411,n,75609
6193,"Split pea with ham soup, canned, reduced sodium, prepared with water or ready-to-serve",soup water reduced ready ham pea sodium prepared split canned serve,Cheddar reduced sodium,sodium reduced cheddar,0.517,1411,n,2832
6194,"Soup, chicken broth, ready-to-serve",soup ready chicken broth serve,Chicken,chicken,0.52,241,n,2834
6208,"Soup, chicken vegetable with potato and cheese, chunky, ready-to-serve",soup ready chicken chunky potato cheese serve vegetable,Vegetable soups,soup vegetable,0.547,756,n,2834
6230,"Soup, clam chowder, new england, canned, prepared with equal volume low fat (2%) milk",soup clam chowder volume prepared low england canned equal milk 2 fat new,Vegetable soup prepared with milk,soup prepared milk vegetable,0.428,75611,n,2835
6256,"Soup, cream of shrimp, canned, prepared with equal volume low fat (2%) milk",soup cream volume prepared of low canned shrimp equal 2 milk fat,Vegetable soup prepared with milk,soup prepared milk vegetable,0.482,75611,n,263191
6402,"Soup, black bean, canned, prepared with equal volume water",soup water volume bean prepared canned equal black,Black beans,black bean,0.449,41203,n,416
6413,"Soup, chicken broth, canned, prepared with equal volume water",soup water chicken volume prepared canned broth equal,Vegetable soup prepared with milk,soup prepared milk vegetable,0.416,75611,n,2834
6417,"Soup, chicken gumbo, canned, prepared with equal volume water",soup water gumbo chicken volume prepared canned equal,Vegetable soup prepared with milk,soup prepared milk vegetable,0.401,75611,n,2834
6430,"Soup, clam chowder, new england, canned, prepared with equal volume water",soup water clam chowder volume prepared england canned equal new,Vegetable soup prepared with milk,soup prepared milk vegetable,0.368,75611,n,2835
6443,"Soup, cream of mushroom, canned, prepared with equal volume water",soup water cream volume prepared of canned equal mushroom,Mushrooms,mushroom,0.521,75219,n,75607
6449,"Soup, pea, green, canned, prepared with equal volume water",soup water pea volume prepared canned equal green,Peas green,pea green,0.463,75224,n,75609
6456,"Soup, cream of shrimp, canned, prepared with equal volume water",soup water cream volume prepared of canned shrimp equal,Soup cream of NS,soup of cream,0.46,75600,n,263191
6461,"Soup, tomato beef with noodle, canned, prepared with equal volume water",soup beef water volume prepared canned equal tomato noodle,Tomato with beef or noodles,beef tomato noodle,0.605,74604,,
6463,"Soup, tomato rice, canned, prepared with equal volume water",soup water rice volume prepared canned equal tomato,Tomato soups,soup tomato,0.5,746,,
6468,"Soup, vegetarian vegetable, canned, prepared with equal volume water",soup water volume vegetarian prepared canned equal vegetable,Vegetable soup prepared with milk,soup prepared milk vegetable,0.667,75611,n,756
6472,"Soup, vegetable with beef broth, canned, prepared with equal volume water",soup beef water volume prepared canned broth equal vegetable,Vegetable soup prepared with milk,soup prepared milk vegetable,0.611,75611,n,756
6475,"Soup, beef broth or bouillon, powder, prepared with water",soup beef water bouillon powder prepared broth,Beef soups,soup beef,0.459,2831,,
6480,"Soup, chicken broth or bouillon, dry, prepared with water",soup water chicken bouillon prepared dry broth,Vegetable soup prepared with milk,soup prepared milk vegetable,0.438,75611,n,2834
6483,"Soup, cream of chicken, dry, mix, prepared with water",soup mix water cream chicken prepared of dry,Soup cream of NS,soup of cream,0.571,75600,n,2834
6494,"Soup, onion, dry, mix, prepared with water",soup mix water onion prepared dry,Vegetable soup prepared with milk,soup prepared milk vegetable,0.507,75611,n,75608
6498,"Soup, tomato, dry, mix, prepared with water",soup mix water prepared dry tomato,Tomato soups,soup tomato,0.653,746,,
6559,"Soup, tomato, canned, prepared with equal volume water, commercial",soup water volume prepared canned equal commercial tomato,Tomato soups,soup tomato,0.474,746,,
6583,"Soup, ramen noodle, any flavor, dry",soup ramen any flavor dry noodle,Noodles,noodle,0.52,5611,n,5841
6584,"Soup, broccoli cheese, canned, condensed, commercial",soup broccoli condensed canned commercial cheese,Broccoli,broccoli,0.509,7220,n,7561
6700,"Soup, vegetable broth, ready to serve",soup ready broth serve vegetable,Vegetable soups,soup vegetable,0.723,756,,
6749,"Soup, beef and vegetables, canned, ready-to-serve",soup beef ready canned serve vegetable,Vegetable soups,soup vegetable,0.695,756,,
6931,"Sauce, pasta, spaghetti/marinara, ready-to-serve",ready sauce pasta serve spaghettimarinara,Spaghetti sauce,sauce spaghetti,0.682,74404,,
6955,"Soup, cream of chicken, canned, condensed, reduced sodium",soup cream reduced chicken condensed sodium of canned,Cheddar reduced sodium,sodium reduced cheddar,0.555,1411,n,2834
6956,"Soup, tomato, canned, condensed, reduced sodium",soup reduced condensed sodium canned tomato,Tomato soup instant or canned,soup instant tomato canned,0.562,74602,,
6957,"Gravy, brown instant, dry",instant brown dry gravy,Tea from powdered instant,from powdered instant tea,0.441,92305,n,87
6958,"Gravy, instant beef, dry",instant beef dry gravy,Beef in gravy or sauce,sauce beef gravy,0.59,2711,n,871
6959,"Gravy, instant turkey, dry",instant dry turkey gravy,Turkey,turkey,0.562,242,n,875
6961,"Sauce, peppers, hot, chili, mature red, canned",red chili sauce pepper mature canned hot,Peppers,pepper,0.535,75226,n,862
6963,Fish broth,fish broth,Fish NS,fish,0.669,26100,n,2835
6968,"Soup, cream of mushroom, low sodium, ready-to-serve, canned",soup cream ready sodium low of canned mushroom serve,Mushrooms,mushroom,0.581,75219,n,75607
6970,"Soup, chicken broth, low sodium, canned",soup sodium chicken low canned broth,Low sodium crackers,low cracker sodium,0.574,542,n,2834
6971,"Sauce, worcestershire",sauce worcestershire,Pasta with sauce,sauce pasta,0.319,58146,n,868
6972,"Sauce, tomato chili sauce, bottled, with salt",bottled chili sauce salt tomato,Tomato sauces,sauce tomato,0.662,744,n,74402
6976,"Sauce, pasta, spaghetti/marinara, ready-to-serve, low sodium",ready sodium sauce pasta low serve spaghettimarinara,Spaghetti sauce,sauce spaghetti,0.63,74404,,
6977,"Gravy, meat or poultry, low sodium, prepared",meat poultry sodium low prepared gravy,Poultry with gravy or sauce,sauce poultry gravy,0.631,2714,n,87
6980,"Soup, beef stroganoff, canned, chunky style, ready-to-serve",soup beef style stroganoff ready chunky canned serve,Beef soups,soup beef,0.372,2831,,
6981,"Soup, bouillon cubes and granules, low sodium, dry",soup granule cube sodium bouillon low dry,Low sodium crackers,low cracker sodium,0.426,542,n,2831
7005,Blood sausage,blood sausage,Sausages,sausage,0.736,2522,,
7007,"Bologna, beef",bologna beef,Beef,beef,0.432,21,,
7008,"Bologna, beef and pork",bologna beef pork,Pork,pork,0.412,22,,
7013,"Bratwurst, pork, cooked",cooked bratwurst pork,Pork,pork,0.363,22,n,2522
7014,"Braunschweiger (a liver sausage), pork",sausage pork braunschweiger liver,Sausages,sausage,0.46,2522,,
7016,"Cheesefurter, cheese smokie, pork, beef",beef pork cheesefurter cheese smokie,Cheeses,cheese,0.631,14,n,2521
7019,"Chorizo, pork and beef",chorizo pork beef,Pork,pork,0.466,22,,
7022,"Frankfurter, beef, unheated",beef unheated frankfurter,Frankfurters,frankfurter,0.793,2521,,
7024,"Frankfurter, chicken",chicken frankfurter,Frankfurters,frankfurter,0.879,2521,,
7025,"Frankfurter, turkey",turkey frankfurter,Frankfurters,frankfurter,0.872,2521,,
7026,"Ham, chopped, canned",ham canned chopped,Whipped toppings,whipped topping,0.433,1222,n,223
7027,"Ham, chopped, not canned",ham canned chopped,Whipped toppings,whipped topping,0.433,1222,n,223
7028,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",meat water ham packaged deli added 96fat pre sliced free,Fat free ice cream,ice fat free cream,0.381,1316,n,223
7029,"Ham, sliced, regular (approximately 11% fat)",approximately ham sliced fat 11 regular,Regular salad dressings,salad dressing regular,0.293,831,n,223
7031,Ham salad spread,salad spread ham,Cheese spread,spread cheese,0.518,1442,n,223
7034,"Headcheese, pork",headcheese pork,Cheeses,cheese,0.536,14,n,22
7038,"Knackwurst, knockwurst, pork, beef",pork knockwurst knackwurst beef,Cereal cooked barley or buckwheat,cooked buckwheat barley cereal,0.217,56200,n,210
7043,"Roast beef, deli style, prepackaged, sliced",beef style deli prepackaged sliced roast,Bread pita style,pita style bread,0.388,51109,n,210
7050,"Mortadella, beef, pork",beef pork mortadella,Pork,pork,0.421,22,n,210
7053,"Pate, chicken liver, canned",chicken pate canned liver,Liver,liver,0.59,2511,,
7057,"Pepperoni, beef and pork, sliced",beef pork pepperoni sliced,Peppers,pepper,0.605,75226,n,210
7058,"Pickle and pimiento loaf, pork",pickle pork pimiento loaf,Beef pickled,beef pickled,0.454,21002,n,227
7064,"Pork sausage, link/patty, cooked, pan-fried",pork pan fried sausage cooked linkpatty,Sausages,sausage,0.479,2522,,
7065,"Pork and beef sausage, fresh, cooked",beef pork sausage cooked fresh,Sausages,sausage,0.632,2522,,
7066,"Turkey sausage, reduced fat, brown and serve, cooked (include BUTTERBALL breakfast links turkey sausage)",turkey reduced butterball breakfast link include sausage cooked fat brown serve,Breakfast tart,tart breakfast,0.406,5353,n,2522
7067,Poultry salad sandwich spread,salad spread poultry sandwich,Poultry sandwiches,poultry sandwich,0.828,2754,,
7069,"Salami, cooked, beef and pork",cooked salami pork beef,Pork,pork,0.488,22,n,2242
7070,"Salami, cooked, turkey",cooked salami turkey,Turkey,turkey,0.673,242,,
7072,"Salami, dry or hard, pork, beef",beef pork hard salami dry,Chard,chard,0.443,72104,n,22
7073,"Sandwich spread, pork, beef",spread beef pork sandwich,Pork sandwiches,pork sandwich,0.795,2752,,
7078,"Thuringer, cervelat, summer sausage, beef, pork",beef pork thuringer sausage summer cervelat,Sausages,sausage,0.462,2522,,
7081,"Turkey breast, sliced, prepackaged",turkey breast sliced prepackaged,Turkey,turkey,0.466,242,,
7083,"Sausage, Vienna, canned, chicken, beef, pork",vienna beef pork chicken canned sausage,Sausages,sausage,0.5,2522,,
7089,"Sausage, Italian, pork, cooked",italian pork cooked sausage,Sausages,sausage,0.604,2522,,
7905,"Frankfurter, beef, pork, and turkey, fat free",beef pork turkey fat free frankfurter,Frankfurters,frankfurter,0.742,2521,,
7906,"Luncheon meat, pork, ham, and chicken, minced, canned, reduced sodium, added ascorbic acid, includes SPAM, 25% less sodium",meat pork reduced 25 ascorbic ham acid chicken sodium spam le added includes luncheon minced canned,Cheddar reduced sodium,sodium reduced cheddar,0.459,1411,n,2523
7908,"Luncheon meat, pork with ham, minced, canned, includes SPAM (Hormel)",meat pork ham spam includes luncheon minced canned hormel,Luncheon meats,meat luncheon,0.587,2523,,
7909,"Luncheon meat, pork and chicken, minced, canned, includes SPAM Lite",meat pork lite spam chicken includes luncheon minced canned,Luncheon meats,meat luncheon,0.591,2523,,
7951,"Scrapple, pork",pork scrapple,Apple or applesauce,apple applesauce,0.541,63101,n,227
7954,"Beef sausage, pre-cooked",cooked beef pre sausage,Sausages,sausage,0.736,2522,,
7956,"Beef sausage, fresh, cooked",cooked beef fresh sausage,Sausages,sausage,0.688,2522,,
7961,"Chicken breast, deli, rotisserie seasoned, sliced, prepackaged",deli chicken seasoned breast sliced prepackaged rotisserie,Chicken breast,chicken breast,0.531,2412,,
7962,"Frankfurter, meat and poultry, unheated",meat unheated poultry frankfurter,Frankfurters,frankfurter,0.699,2521,,
7966,"Pork sausage, link/patty, reduced fat, cooked, pan-fried",linkpatty pork reduced pan fried sausage cooked fat,Sausages,sausage,0.437,2522,,
7968,"Kielbasa, fully cooked, grilled",cooked fully grilled kielbasa,Cookie NS,cookie,0.312,53201,n,2522
7971,"Bologna, meat and poultry",bologna meat poultry,Poultry,poultry,0.614,24,n,2523
7973,"Turkey bacon, microwaved",bacon turkey microwaved,Turkey,turkey,0.465,242,,
7974,"Bacon, turkey, low sodium",bacon low sodium turkey,Low sodium crackers,low cracker sodium,0.587,542,n,242
7976,"Sausage, chicken or turkey, Italian style,  lower sodium",lower style turkey sausage chicken sodium italian,Sausages,sausage,0.441,2522,,
7978,"Pork sausage, reduced sodium, cooked",pork reduced sodium sausage cooked,Cheddar reduced sodium,sodium reduced cheddar,0.594,1411,n,2522
8001,"Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN Original",eat ready all kellogg original bran cereal,Ready to eat cereals,eat ready cereal,0.553,571,,
8002,"Cereals ready-to-eat, POST, ALPHA-BITS",eat ready post alpha bit cereal,Ready to eat cereals,eat ready cereal,0.589,571,,
8003,"Cereals ready-to-eat, KELLOGG, KELLOGG'S APPLE JACKS",eat ready jack apple kellogg cereal,Ready to eat cereals,eat ready cereal,0.593,571,,
8005,"Cereals ready-to-eat, KELLOGG, KELLOGG'S ALL-BRAN BRAN BUDS",eat ready all kellogg bud bran cereal,Ready to eat cereals,eat ready cereal,0.612,571,,
8010,"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH",capn eat ready quaker crunch cereal,Ready to eat cereals,eat ready cereal,0.578,571,,
8011,"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH with CRUNCHBERRIES",capn eat ready quaker crunch crunchberries cereal,Ready to eat cereals,eat ready cereal,0.426,571,,
8012,"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH'S PEANUT BUTTER CRUNCH",capn eat ready quaker peanut crunch butter cereal,Crackers peanut butter,cracker peanut butter,0.581,54327,n,571
8013,"Cereals ready-to-eat, GENERAL MILLS, CHEERIOS",eat general mill ready cheerio cereal,Ready to eat cereals,eat ready cereal,0.666,571,,
8014,"Cereals ready-to-eat, KELLOGG, KELLOGG'S COCOA KRISPIES",eat ready cocoa kellogg krispies cereal,Ready to eat cereals,eat ready cereal,0.529,571,,
